FID1	IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO
59406	FG52	FG52	S352	S352	UN	NA	0.1774	0.4809	0.3417	0.5821	0	0.941484	1	16.8366
116660	FG147	FG147	S416	S416	UN	NA	0.2176	0.4299	0.3525	0.5674	-1	0.940292	1	10.7851
149830	S8	S8	S146	S146	UN	NA	0.1278	0.4681	0.4041	0.6381	0	0.948664	1	21.1024
168753	S50	S50	S248	S248	UN	NA	0.2307	0.4679	0.3014	0.5353	0	0.935784	1	11.9255
196176	S116	S116	S117	S117	UN	NA	0.007	0.982	0.011	0.502	1	0.925039	1	151.3846
197710	S120	S120	S121	S121	UN	NA	0.0041	0.8918	0.104	0.5499	0	0.932199	1	465.2222
209921	S153	S153	S320	S320	UN	NA	0.2106	0.5238	0.2656	0.5275	-1	0.934084	1	11.4382
221340	S188	S188	S189	S189	UN	NA	0.2204	0.4409	0.3388	0.5592	-1	0.939122	1	13.0132
227904	S208	S208	S411	S411	UN	NA	0.2021	0.4963	0.3015	0.5497	-1	0.93722	1	13.5817
255081	S326	S326	S327	S327	UN	NA	0.0123	0.93	0.0577	0.5227	-1	0.928296	1	119.0571
256348	S333	S333	S397	S397	UN	NA	0.0127	0.9625	0.0248	0.5061	-1	0.925796	1	148.1333
256453	S334	S334	S335	S335	UN	NA	0.187	0.4562	0.3568	0.5849	-1	0.942146	1	13.3754
265228	S399	S399	S400	S400	UN	NA	0.0083	0.9281	0.0636	0.5276	-1	0.928938	1	167.36
267003	S418	S418	S427	S427	UN	NA	0.2374	0.516	0.2466	0.5046	0	0.931314	1	12.3432
