FileName	Sample Name
WTCHG_384296_201191	S97
WTCHG_384296_202179	S328
WTCHG_384296_203167	S81
WTCHG_384296_204155	S258
WTCHG_384296_205143	FG138
WTCHG_384296_206131	S381
WTCHG_384296_207119	S174
WTCHG_384296_208107	S196
WTCHG_384296_209190	S358
WTCHG_384296_210178	FG124F
WTCHG_384296_211166	S411
WTCHG_384296_213142	S448
WTCHG_384296_214130	S224
WTCHG_384296_215118	S281
WTCHG_384296_216106	FG150M
WTCHG_384296_217189	S203
WTCHG_384296_218177	S90
WTCHG_384296_220153	S12
WTCHG_384296_221141	S86
WTCHG_384296_222129	FG81F
WTCHG_384296_223117	S465
WTCHG_384296_224105	S30
WTCHG_384296_225188	S336
WTCHG_384296_226176	S290
WTCHG_384296_227164	S398
WTCHG_384296_228152	FG130M
WTCHG_384296_229140	S52
WTCHG_384296_230128	S422
WTCHG_384296_231116	S272
WTCHG_384296_232104	S37
WTCHG_384296_233187	S421
WTCHG_384296_234175	S61
WTCHG_384296_235163	S88
WTCHG_384296_236151	S137
WTCHG_384296_237139	S486
WTCHG_384296_238127	S130
WTCHG_384296_239115	S414
WTCHG_384296_240103	S181
WTCHG_384296_241186	S291
WTCHG_384296_242174	S11
WTCHG_384296_243162	S153
WTCHG_384296_244150	FG101
WTCHG_384296_245138	S317
WTCHG_384296_246126	FG39R
WTCHG_384296_247114	FG156M
WTCHG_384296_248102	S276
WTCHG_384296_249185	S125
WTCHG_384296_250173	S384
WTCHG_384296_251161	S243
WTCHG_384296_252149	S302
WTCHG_384296_253137	S132
WTCHG_384296_254125	S40
WTCHG_384296_255113	S171
WTCHG_384296_256101	S420
WTCHG_384296_257196	S161
WTCHG_384296_258184	S274
WTCHG_384296_259172	FG44M
WTCHG_384296_260160	S363
WTCHG_384296_261148	S34
WTCHG_384296_262136	S208
WTCHG_384296_263124	S107
WTCHG_384296_264112	S287
WTCHG_384296_265195	S413
WTCHG_384296_266183	S59
WTCHG_384296_267171	S113
WTCHG_384296_268159	FG88
WTCHG_384296_269147	S321
WTCHG_384296_270135	S55
WTCHG_384296_271123	FG125F
WTCHG_384296_273194	S303
WTCHG_384296_274182	S110
WTCHG_384296_275170	FG124M
WTCHG_384296_276158	S164
WTCHG_384296_277146	S306
WTCHG_384296_278134	S62
WTCHG_384296_279122	FG156
WTCHG_384296_280110	S94
WTCHG_384296_281193	FG136
WTCHG_384296_282181	S225
WTCHG_384296_283169	S120
WTCHG_384296_284157	S84
WTCHG_384296_285145	S38
WTCHG_384296_286133	S439
WTCHG_384296_287121	S68
WTCHG_384296_288109	S430
WTCHG_384296_289192	S498
WTCHG_384296_290180	S278
WTCHG_384296_291168	S51
WTCHG_384296_292156	S229
WTCHG_384296_293144	S322
WTCHG_384296_294132	S295
WTCHG_384296_295120	S115
WTCHG_384296_296108	FG74F
WTCHG_417844_201106	S243
WTCHG_417844_201191	S97
WTCHG_417844_202118	S302
WTCHG_417844_203130	S132
WTCHG_417844_204142	S40
