"Sample"	"Note"	"End.2.Mapping.Rate"	"Chimeric.Pairs"	"Intragenic.Rate"	"Num..Gaps"	"Mapping.Rate"	"Exonic.Rate"	"X5..Norm"	"Genes.Detected"	"Unique.Rate.of.Mapped"	"X3..Norm"	"Read.Length"	"Mean.Per.Base.Cov."	"End.1.Mismatch.Rate"	"Fragment.Length.StdDev"	"Estimated.Library.Size"	"Mapped"	"Intergenic.Rate"	"rRNA"	"Total.Purity.Filtered.Reads.Sequenced"	"Failed.Vendor.QC.Check"	"Mean.CV"	"Transcripts.Detected"	"Mapped.Pairs"	"Cumul..Gap.Length"	"Gap.."	"Unpaired.Reads"	"Intronic.Rate"	"Mapped.Unique.Rate.of.Total"	"Expression.Profiling.Efficiency"	"Mapped.Unique"	"End.2.Mismatch.Rate"	"End.2.Antisense"	"Alternative.Aligments"	"End.2.Sense"	"Fragment.Length.Mean"	"End.1.Antisense"	"Split.Reads"	"Base.Mismatch.Rate"	"End.1.Sense"	"End.1...Sense"	"rRNA.rate"	"End.1.Mapping.Rate"	"No..Covered.5."	"Duplication.Rate.of.Mapped"	"End.2...Sense"
"1"	"ELL3153A100"	"NoDesc"	0.9548473	785332	0.96786064	177	0.95711523	0.8221553	0.3219528	18238	1	0.73028755	75	62.61332	0.0011238013	193	0	61965354	0.031824622	281233	64741788	0	0.5686906	98608	30813352	15459	0.034437973	0	0.14570533	0.95711523	0.78689736	61965354	0.0023477061	455363	3233125	26772693	154	26833137	12409031	0.0017343035	470986	1.7249628	0.0043439176	0.9593833	209	0	98.32759
"2"	"ELL3153A101"	"NoDesc"	0.8898951	319810	0.9637571	228	0.8919738	0.8170055	0.31878266	16925	1	0.6105589	75	40.879265	0.0011251152	160	0	42376869	0.0357786	240186	47509094	0	0.5993343	93151	21070249	13790	0.029480362	0	0.14675167	0.8919738	0.72874755	42376869	0.0021604288	317010	2576513	18174742	121	18199006	8294061	0.0016415657	326469	1.7622705	0.0050555794	0.89405245	208	0	98.28567
"3"	"ELL3153A102"	"NoDesc"	0.91549283	542895	0.9674769	201	0.91822135	0.8323401	0.338113	17760	1	0.5646107	75	44.342487	0.0011147015	168	0	43156032	0.03220187	248645	46999597	0	0.5568917	97121	21441875	12431	0.02415015	0	0.1351368	0.91822135	0.76427245	43156032	0.002299349	321879	2136690	18684245	125	18745049	9018285	0.0017052651	333548	1.7482837	0.005290365	0.9209499	218	0	98.30644
"4"	"ELL3153A103"	"NoDesc"	0.93938655	702412	0.9638159	224	0.9418135	0.8129266	0.30687368	17391	1	0.6930775	75	49.604153	0.001115094	165	0	51094625	0.03579586	269122	54251315	0	0.56187433	94933	25403428	17532	0.034914427	0	0.15088926	0.9418135	0.7656253	51094625	0.0023137762	385570	2913125	21923712	127	21967083	9947331	0.0017128907	398761	1.7829016	0.004960654	0.9442406	213	0	98.271706
"5"	"ELL3153A104"	"NoDesc"	0.9501794	585984	0.9550948	177	0.9536337	0.731115	0.34486642	19801	1	0.65350664	75	41.447517	0.0011754574	153	0	50089375	0.044622198	104958	52524754	0	0.5493277	103980	24839978	12797	0.026197432	0	0.2239799	0.9536337	0.6972159	50089375	0.0024158168	448454	2779370	21154589	120	21253326	8333718	0.0017933905	462802	2.1311443	0.0019982578	0.95708805	208	0	97.92411
"6"	"ELL3153A105"	"NoDesc"	0.9469934	798931	0.9447942	218	0.9492423	0.7542441	0.29191557	20659	1	0.67321336	75	45.298615	0.0011909897	146	0	52240434	0.054768402	87519	55033824	0	0.57316065	107270	25939575	17415	0.035215255	0	0.19055009	0.9492423	0.7159603	52240434	0.0022481815	560318	5701311	21802365	127	21854691	8538007	0.0017183333	574475	2.5612855	0.0015902766	0.95149124	204	0	97.49439
"7"	"ELL3153A106"	"NoDesc"	0.9566289	485344	0.9497399	170	0.95879483	0.7424787	0.2874068	21192	1	0.6293178	75	56.650154	0.0011506993	181	0	61212981	0.04986217	144863	63843667	0	0.5487604	108929	30398372	12237	0.025739346	0	0.20726117	0.95879483	0.7118848	61212981	0.0021884297	617734	3688971	25866798	144	25920919	10368206	0.0016683923	635410	2.3926878	0.0022690268	0.9609608	214	0	97.667564
"8"	"ELL3153A107"	"NoDesc"	0.9575415	528844	0.9599819	182	0.9595451	0.7783695	0.3348096	18668	1	0.69916797	75	57.69227	0.0011184231	191	0	60655577	0.039683193	170932	63212849	0	0.5620642	99453	30156001	14406	0.03047399	0	0.18161245	0.9595451	0.7468806	60655577	0.0021400407	458636	3467060	25979843	149	26018750	11083090	0.0016281654	470989	1.7780054	0.0027040706	0.96154857	217	0	98.265274
"9"	"ELL3153A108"	"NoDesc"	0.9603728	380898	0.9649057	208	0.9618823	0.83401483	0.316421	17852	1	0.5985969	75	53.890827	0.0011153377	179	0	51737856	0.034639493	264237	53788134	0	0.5513963	97565	25746542	13199	0.026456522	0	0.13089082	0.9618823	0.8022241	51737856	0.002103985	336177	3897880	22372924	133	22385946	10736133	0.0016088856	347501	1.528589	0.0049125515	0.9633918	225	0	98.51964
"10"	"ELL3153A109"	"NoDesc"	0.9614427	418959	0.9637316	216	0.96276885	0.82451516	0.3726828	16856	1	0.7422457	75	55.44518	0.0011232079	170	0	53620089	0.035751674	279003	55693624	0	0.6072001	92735	26698188	15534	0.03879194	0	0.1392164	0.96276885	0.7938175	53620089	0.00208686	353735	3613147	22947644	134	22930537	10492886	0.0016043701	366337	1.5724728	0.005009604	0.9640951	214	0	98.4819
"11"	"ELL3153A10"	"NoDesc"	0.95613205	313726	0.9483424	165	0.9589504	0.74497545	0.29671556	20823	1	0.73433447	75	53.03905	0.0011296802	170	0	59312457	0.051341154	135458	61851434	0	0.5345975	108002	29438659	10853	0.021440143	0	0.20336694	0.9589504	0.7143945	59312457	0.0023107822	625612	3529038	24941462	140	25019440	9918786	0.0017184957	645462	2.5149598	0.0021900544	0.96176887	220	0	97.55306
"12"	"ELL3153A110"	"NoDesc"	0.9617924	617355	0.9677903	202	0.9633455	0.8343526	0.30931708	17917	1	0.7173151	75	57.463345	0.0010921097	181	0	55156055	0.031741284	266867	57254694	0	0.53824216	97740	27446594	16952	0.035660945	0	0.13343771	0.9633455	0.8037699	55156055	0.0020995252	365360	3585073	23922228	140	23936249	11486833	0.0015950054	378613	1.5571258	0.00466105	0.9648986	198	0	98.49569
"13"	"ELL3153A111"	"NoDesc"	0.96185374	263752	0.96648747	214	0.9634757	0.8193542	0.2887454	16840	1	0.78075755	75	50.326775	0.001108083	163	0	49861131	0.0329738	257026	51751313	0	0.61701125	92843	24815640	20184	0.0450746	0	0.14713325	0.9634757	0.7894279	49861131	0.0021402424	336199	2542653	21445471	126	21442754	9824252	0.0016232939	348574	1.5995996	0.0049665603	0.9650977	201	0	98.45651
"14"	"ELL3153A112"	"NoDesc"	0.94961166	385721	0.9529869	166	0.951513	0.74540037	0.30829197	20142	1	0.6968062	75	54.900627	0.001131686	178	0	59785446	0.046644527	109641	62831985	0	0.53348404	105070	29701339	13393	0.025956333	0	0.20758654	0.951513	0.70925814	59785446	0.0021058205	576171	3526321	25391828	142	25436527	10148817	0.0016177798	592364	2.275794	0.0017449871	0.95341426	212	0	97.78123
"15"	"ELL3153A113"	"NoDesc"	0.92137456	416121	0.9486478	249	0.9262433	0.792549	0.27901098	19740	1	0.6650453	75	34.261272	0.0011874578	141	0	39358776	0.050919216	91536	42492910	0	0.57518417	104425	19492639	17635	0.034836426	0	0.15609878	0.9262433	0.73409325	39358776	0.0030745813	372246	11384798	16495983	120	16628437	6891099	0.0021260597	387134	2.2751749	0.0021541475	0.9311121	212	0	97.79322
"16"	"ELL3153A114"	"NoDesc"	0.96278447	457940	0.94934314	170	0.96522796	0.7335742	0.29831183	20901	1	0.66599536	75	49.79193	0.0011478306	170	0	57294448	0.05031957	134103	59358463	0	0.508911	108288	28443646	13356	0.02353501	0	0.21576896	0.96522796	0.7080663	57294448	0.0022283345	582201	3202168	24171444	134	24231136	9543627	0.0016867149	599941	2.4160895	0.002259206	0.9676714	214	0	97.64802
"17"	"ELL3153A115"	"NoDesc"	0.9570528	531274	0.9612201	187	0.95911694	0.7787154	0.3124484	18218	1	0.68567383	75	49.342403	0.001112337	179	0	52013346	0.03849347	155070	54230453	0	0.5701042	97844	25855735	13829	0.027593818	0	0.18250465	0.95911694	0.7468791	52013346	0.00213916	384632	2747125	22346384	130	22391882	9500998	0.0016246436	395377	1.7350792	0.0028594634	0.961181	215	0	98.30789
"18"	"ELL3153A116"	"NoDesc"	0.96256065	416426	0.96554846	211	0.96411747	0.84535605	0.34167686	18271	1	0.6023832	75	59.8235	0.0010544744	192	0	56842080	0.03411439	343094	58957629	0	0.55152875	99099	28297131	13353	0.028780809	0	0.12019245	0.96411747	0.8150225	56842080	0.002046415	378224	3648670	24615834	148	24625001	12093482	0.0015496437	391956	1.5667614	0.005819332	0.96567434	210	0	98.48674
"19"	"ELL3153A117"	"NoDesc"	0.96343863	360856	0.9636998	227	0.9652267	0.81376827	0.30666596	18090	1	0.70358866	75	53.39512	0.0010847022	180	0	55360190	0.03601868	293404	57354599	0	0.5412403	97849	27547018	18246	0.034758985	0	0.14993149	0.9652267	0.7854709	55360190	0.0021116382	413298	2908384	23774303	139	23787683	10858060	0.0015972189	426810	1.7626221	0.0051156143	0.96701473	205	0	98.2913
"20"	"ELL3153A118"	"NoDesc"	0.96297747	476114	0.96391183	165	0.96478355	0.8279639	0.2934198	18380	1	0.7274329	75	57.336006	0.0010819867	189	0	55766181	0.035759307	320392	57801754	0	0.53204167	99295	27747737	10686	0.025476765	0	0.13594791	0.96478355	0.79880595	55766181	0.0021201256	380484	3543943	24090019	143	24112845	11443807	0.0016000845	393644	1.6062849	0.005542946	0.96658975	219	0	98.44513
"21"	"ELL3153A119"	"NoDesc"	0.96410525	496069	0.9636772	166	0.96580714	0.81139344	0.2584082	18410	1	0.7272132	75	62.290447	0.0010700448	200	0	64104932	0.036023967	311395	66374462	0	0.5640477	98622	31904536	12824	0.026901107	0	0.1522838	0.96580714	0.78364956	64104932	0.0021363492	482013	3637665	27530161	160	27540473	12611621	0.0016022576	498240	1.7769718	0.004691488	0.9675091	209	0	98.279274
"22"	"ELL3153A11"	"NoDesc"	0.95462954	283075	0.9609063	165	0.95706755	0.78752613	0.40890267	18411	1	0.7273965	75	54.95838	0.0010979286	181	0	56840475	0.03882126	156152	59390244	0	0.5623873	98778	28250850	9926	0.02327561	0	0.17338017	0.95706755	0.7537157	56840475	0.002235486	424478	3205529	24368628	141	24426570	10464516	0.0016652584	437863	1.7610015	0.0026292533	0.95950556	232	0	98.28792
"23"	"ELL3153A120"	"NoDesc"	0.9573489	278751	0.9510949	201	0.959503	0.73513865	0.32412285	20350	1	0.6413566	75	51.149868	0.0011226475	170	0	57357630	0.048615154	119963	59778481	0	0.54037327	105967	28487498	12846	0.027162353	0	0.2159563	0.959503	0.70536774	57357630	0.00215497	564442	3408456	24265193	135	24314895	9618988	0.0016376498	580561	2.331996	0.0020067925	0.9616571	213	0	97.72674
"24"	"ELL3153A121"	"NoDesc"	0.9469422	558400	0.9423036	178	0.94904256	0.76184165	0.27987188	20578	1	0.73131496	75	45.875465	0.0011602273	153	0	53296569	0.057269786	102344	56158246	0	0.51982665	107138	26471653	13185	0.028173257	0	0.18046191	0.94904256	0.72302014	53296569	0.0022236547	582963	9076923	22185626	132	22227637	8932369	0.0016907642	597768	2.6188715	0.0018224216	0.9511429	216	0	97.43962
"25"	"ELL3153A122"	"NoDesc"	0.95605403	293103	0.9487262	180	0.9579622	0.74970955	0.28693116	20931	1	0.67450553	75	51.064655	0.0011269834	170	0	57343113	0.050954316	162468	59859474	0	0.5669796	108313	28487309	12704	0.023284543	0	0.1990166	0.9579622	0.7181934	57343113	0.002085948	595565	3546899	24147060	137	24182399	9792892	0.0016055106	612630	2.4707775	0.0027141569	0.9598704	212	0	97.59296
"26"	"ELL3153A123"	"NoDesc"	0.9613174	325010	0.95848733	156	0.9630642	0.7749287	0.2912805	18914	1	0.7834878	75	63.95697	0.0011125129	198	0	66915678	0.041202914	209087	69482053	0	0.54160935	99791	33281965	11161	0.026849076	0	0.18355864	0.9630642	0.74630606	66915678	0.0021004556	514409	4461756	28621947	162	28662265	12149612	0.0016055882	527947	1.8086439	0.003009223	0.9648109	220	0	98.234474
"27"	"ELL3153A124"	"NoDesc"	0.95222867	321902	0.9666589	209	0.95364606	0.85162157	0.36641	18367	1	0.5643547	75	55.687187	0.0010437754	182	0	52263905	0.033036567	436846	54804301	0	0.5664825	99457	26024567	17695	0.038960755	0	0.11503727	0.95364606	0.81214553	52263905	0.0019423297	353326	3391421	22632615	136	22630086	11145991	0.0014923847	365940	1.5913185	0.007971017	0.95506346	210	0	98.462875
"28"	"ELL3153A125"	"NoDesc"	0.9347133	323125	0.9599015	203	0.93623096	0.8217542	0.3265494	17965	1	0.56138235	75	47.483883	0.0010396732	166	0	46657897	0.03977378	485786	49835885	0	0.5604366	97481	23223153	13362	0.029717503	0	0.13814723	0.93623096	0.7693517	46657897	0.0019216608	362834	3552880	20012988	119	20012448	9504756	0.0014799521	374515	1.8370317	0.009747715	0.9377486	211	0	98.21929
"29"	"ELL3153A126"	"NoDesc"	0.9224817	308401	0.96332115	186	0.92408353	0.835509	0.41069192	18167	1	0.59843564	75	47.641426	0.001031172	168	0	44956888	0.036383055	473679	48650243	0	0.5668803	98572	22375985	13167	0.032921202	0	0.12781207	0.92408353	0.77208006	44956888	0.0018967993	338906	3306312	19423884	119	19437256	9572724	0.0014632354	351058	1.7740673	0.009736416	0.9256853	217	0	98.285126
"30"	"ELL3153A127"	"NoDesc"	0.92697185	301674	0.96327513	221	0.9285985	0.82742953	0.3249309	17915	1	0.694538	75	45.05327	0.0010375641	166	0	44549457	0.03636956	444590	47974935	0	0.58051723	97322	22170594	16954	0.036941405	0	0.13584566	0.9285985	0.7683499	44549457	0.0019157337	346425	2776425	19170759	118	19177386	9137831	0.0014758797	358254	1.8338482	0.009267131	0.9302253	215	0	98.22503
"31"	"ELL3153A128"	"NoDesc"	0.95156187	177167	0.95057595	174	0.9535693	0.7368857	0.3531501	20138	1	0.69841474	75	49.552635	0.0011183036	169	0	55211876	0.049138144	124242	57900225	0	0.543951	105239	27424661	12975	0.029785544	0	0.21369022	0.9535693	0.7026716	55211876	0.0020762624	547609	3506788	23317847	130	23355074	9387410	0.0015962747	562181	2.3505247	0.002145795	0.9555768	218	0	97.70543
"32"	"ELL3153A129"	"NoDesc"	0.9499449	449722	0.9444026	170	0.9520501	0.7652659	0.3908479	20506	1	0.67585486	75	42.99531	0.001151205	149	0	48509713	0.055139124	92606	50952900	0	0.5636123	106679	24094156	11892	0.028509166	0	0.17913666	0.9520501	0.7285715	48509713	0.002186701	497943	7969048	20228330	122	20264811	8390230	0.0016678082	509560	2.4528298	0.0018174824	0.9541552	217	0	97.597534
"33"	"ELL3153A12"	"NoDesc"	0.92759657	196979	0.9645793	215	0.9293479	0.83145213	0.27732638	17882	1	0.73139757	75	46.02881	0.0010199811	171	0	44060507	0.0351301	290601	47410134	0	0.5546827	97545	21923878	20290	0.04352443	0	0.13312711	0.9293479	0.77270824	44060507	0.0019520131	330065	2659859	19092644	119	19108952	9067825	0.0014851189	342033	1.7584355	0.006129512	0.9310991	203	0	98.30063
"34"	"ELL3153A130"	"NoDesc"	0.95394135	414195	0.951465	155	0.9559976	0.7669563	0.25274473	21240	1	0.629978	75	58.832417	0.001162244	193	0	63038864	0.04805867	171215	65940401	0	0.5208343	109609	31311970	11888	0.023230275	0	0.18450867	0.9559976	0.7332084	63038864	0.0021887622	616745	4195013	26652277	152	26700426	11249307	0.001674399	632401	2.313705	0.0025965115	0.9580539	218	0	97.73829
"35"	"ELL3153A131"	"NoDesc"	0.936849	369084	0.96180534	197	0.9387063	0.79441553	0.39081058	18445	1	0.7151835	75	53.942165	0.001124685	184	0	54868016	0.03782524	184853	58450676	0	0.53193986	98851	27278363	15831	0.03517992	0	0.16738981	0.9387063	0.74572283	54868016	0.0020949577	433006	3633714	23558669	137	23597204	10469411	0.0016088615	442543	1.8408804	0.0031625468	0.94056356	213	0	98.195175
"36"	"ELL3153A132"	"NoDesc"	0.9537702	408062	0.9643498	215	0.95542365	0.8351144	0.28981608	18252	1	0.5913613	75	53.55778	0.0010913175	183	0	51473084	0.035280496	346432	53874617	0	0.5756273	98961	25614405	15885	0.027776806	0	0.12923539	0.95542365	0.7978881	51473084	0.0020572308	373398	3398222	22262292	132	22273621	10699644	0.0015734383	387514	1.7100378	0.006430338	0.95707715	204	0	98.3504
"37"	"ELL3153A133"	"NoDesc"	0.95179975	302875	0.9603722	158	0.9532024	0.82584244	0.30960664	17678	1	0.5538823	75	55.382774	0.0010634501	180	0	55429479	0.039151244	389833	58150795	0	0.5570517	96388	27595554	11228	0.022939567	0	0.13452981	0.9532024	0.787195	55429479	0.0020158298	424084	4206056	23733334	140	23715797	11062018	0.0015389393	437428	1.8110543	0.006703829	0.95460504	219	0	98.2445
"38"	"ELL3153A134"	"NoDesc"	0.9516785	433558	0.9626302	162	0.9534651	0.8331502	0.38496557	18326	1	0.68646723	75	53.680485	0.0010695838	186	0	50926838	0.036985155	383455	53412379	0	0.55695415	99176	25338241	9536	0.020344378	0	0.12948005	0.9534651	0.79437965	50926838	0.0020812226	384451	3913656	21992220	130	22011004	10683673	0.0015744555	397837	1.7753574	0.007179141	0.95525163	216	0	98.281906
"39"	"ELL3153A135"	"NoDesc"	0.95434046	149149	0.9620917	193	0.9560393	0.8173465	0.38323593	17342	1	0.75350845	75	51.97993	0.0010788494	176	0	51778416	0.037502307	336106	54159295	0	0.62237394	94416	25767791	13654	0.029492382	0	0.14474516	0.9560393	0.7814154	51778416	0.0021495055	404512	3272040	22192865	133	22187514	10051861	0.0016132261	417536	1.8470917	0.006205878	0.95773816	209	0	98.20992
