"Sample"	"Note"	"End.2.Mapping.Rate"	"Chimeric.Pairs"	"Intragenic.Rate"	"Num..Gaps"	"Mapping.Rate"	"Exonic.Rate"	"X5..Norm"	"Genes.Detected"	"Unique.Rate.of.Mapped"	"X3..Norm"	"Read.Length"	"Mean.Per.Base.Cov."	"End.1.Mismatch.Rate"	"Fragment.Length.StdDev"	"Estimated.Library.Size"	"Mapped"	"Intergenic.Rate"	"rRNA"	"Total.Purity.Filtered.Reads.Sequenced"	"Failed.Vendor.QC.Check"	"Mean.CV"	"Transcripts.Detected"	"Mapped.Pairs"	"Cumul..Gap.Length"	"Gap.."	"Unpaired.Reads"	"Intronic.Rate"	"Mapped.Unique.Rate.of.Total"	"Expression.Profiling.Efficiency"	"Mapped.Unique"	"End.2.Mismatch.Rate"	"End.2.Antisense"	"Alternative.Aligments"	"End.2.Sense"	"Fragment.Length.Mean"	"End.1.Antisense"	"Split.Reads"	"Base.Mismatch.Rate"	"End.1.Sense"	"End.1...Sense"	"rRNA.rate"	"End.1.Mapping.Rate"	"No..Covered.5."	"Duplication.Rate.of.Mapped"	"End.2...Sense"
"1"	"ELL3153A100"	"NoDesc"	0.95911163	878789	0.97096103	152	0.9683118	0.84504133	0.31923354	18562	1	0.6533123	75	80.61315	0.0012551425	254	0	84841012	0.028677406	883271	87617446	0	0.5429201	99571	41682716	10738	0.024344128	0	0.12591965	0.9683118	0.81826353	84841012	0.0025817906	546113	3233125	36373126	220	36942825	17329248	0.001912164	571864	1.5243737	0.010080994	0.9775121	212	0	98.52079
"2"	"ELL3153A101"	"NoDesc"	0.9202194	410327	0.96759194	248	0.9290194	0.8396212	0.2954329	17562	1	0.60164917	75	62.367302	0.0012683071	214	0	67172365	0.03178898	785219	72304590	0	0.5629151	95211	33004542	25436	0.056270353	0	0.1279707	0.9290194	0.78002435	67172365	0.0025419302	437856	2576513	28670818	167	29087791	13297485	0.0018990865	456915	1.5465207	0.010859877	0.9378193	206	0	98.49579
"3"	"ELL3153A102"	"NoDesc"	0.93265444	660172	0.9705128	199	0.9427488	0.8510506	0.30429658	18271	1	0.58127934	75	61.946117	0.001248149	198	0	63291469	0.029130325	783093	67135034	0	0.5341982	98633	31070503	12237	0.024327451	0	0.1194622	0.9427488	0.8023269	63291469	0.0026262852	419265	2136690	27211225	158	27702095	13435313	0.001929839	440755	1.5661349	0.011664446	0.9528432	215	0	98.48259
"4"	"ELL3153A103"	"NoDesc"	0.94878167	820370	0.96719086	200	0.9586348	0.83621365	0.2891019	17801	1	0.5913183	75	67.031364	0.0012363442	224	0	73155954	0.03232735	849476	76312644	0	0.5716952	96263	35928386	10594	0.023713116	0	0.13097723	0.9586348	0.80162346	73155954	0.0025874649	486118	2913125	31184179	181	31696608	14389523	0.0019049611	509946	1.5833609	0.011131524	0.9684879	215	0	98.46507
"5"	"ELL3153A104"	"NoDesc"	0.9532402	653623	0.95851296	200	0.96320575	0.7526985	0.28704637	20150	1	0.6020912	75	50.0005	0.0012665924	173	0	63753703	0.04117243	192156	66189082	0	0.54519737	104889	31275410	10881	0.019042602	0	0.20581451	0.96320575	0.72500354	63753703	0.0025943064	530691	2779370	26888244	146	27379785	10831759	0.0019235811	553699	1.9822053	0.0029031376	0.9731713	209	0	98.0645
"6"	"ELL3153A105"	"NoDesc"	0.95554787	917538	0.95001566	170	0.96249545	0.7631885	0.2848469	21157	1	0.7398268	75	58.598846	0.001277758	181	0	71688030	0.049396865	154225	74481420	0	0.5983721	108488	35241301	10923	0.022206184	0	0.18682718	0.96249545	0.73456544	71688030	0.0025138545	687145	5701311	30161186	170	30537091	12086228	0.0018913451	711665	2.2774186	0.0020706505	0.9694429	219	0	97.7725
"7"	"ELL3153A106"	"NoDesc"	0.9620789	564000	0.9538157	160	0.9687007	0.7643059	0.31592432	21663	1	0.6340073	75	70.668655	0.0012240773	226	0	81418682	0.0457249	317431	84049368	0	0.53452283	110126	40076872	11274	0.02241909	0	0.18950981	0.9687007	0.7403836	81418682	0.0023629055	773509	3688971	34483939	197	34872526	14175583	0.0017895991	802988	2.25081	0.003776721	0.9753224	222	0	97.806114
"8"	"ELL3153A107"	"NoDesc"	0.963519	607884	0.9639504	188	0.9700621	0.80348206	0.31269795	19032	1	0.68823725	75	73.54709	0.0012001904	257	0	82861858	0.035680953	411784	85419130	0	0.56673867	100570	40815464	16720	0.032710172	0	0.1604683	0.9700621	0.77942747	82861858	0.0023159361	578202	3467060	35545502	212	35925808	15358391	0.0017543004	599595	1.6415834	0.004820747	0.97660524	212	0	98.39938
"9"	"ELL3153A108"	"NoDesc"	0.967132	435586	0.9642533	193	0.9727044	0.85214365	0.34996426	18218	1	0.6592183	75	70.45808	0.0012245898	224	0	73063436	0.03519926	919564	75113714	0	0.59246	98630	36028636	16376	0.03532729	0	0.11210965	0.9727044	0.8288839	73063436	0.002308635	419541	3897880	31368443	184	31627855	15325263	0.0017635073	437408	1.3641179	0.012242292	0.9782768	215	0	98.68019
"10"	"ELL3153A109"	"NoDesc"	0.9678984	468642	0.96610796	205	0.97357106	0.849985	0.24646732	17149	1	0.7214102	75	74.26949	0.0012573435	258	0	76383443	0.033123422	938574	78456978	0	0.61791396	93763	37654999	17381	0.041179787	0	0.11612291	0.97357106	0.8275208	76383443	0.0023126053	434053	3613147	32370119	204	32580997	15027831	0.0017819	454832	1.376784	0.011962913	0.97924376	213	0	98.67684
"11"	"ELL3153A10"	"NoDesc"	0.96013784	369898	0.9530403	161	0.968943	0.76792276	0.32519773	21243	1	0.65885	75	67.40481	0.0011996124	214	0	79213153	0.04662833	292571	81752130	0	0.5493708	109135	38940334	13589	0.029506346	0	0.18511756	0.968943	0.74407333	79213153	0.0025004752	785252	3529038	33382871	190	33901227	13549111	0.0018441331	819176	2.3593504	0.003578757	0.97774816	213	0	97.7018
"12"	"ELL3153A110"	"NoDesc"	0.9682035	705586	0.96934587	180	0.9741886	0.85484236	0.3523079	18319	1	0.64678997	75	76.775246	0.0011986765	247	0	79208173	0.030090947	915470	81306812	0	0.5837862	98850	39052515	16610	0.03325272	0	0.11450355	0.9741886	0.83277774	79208173	0.0023146514	462299	3585073	34168982	206	34480740	16779506	0.0017532358	484134	1.3846297	0.01125945	0.98017365	213	0	98.665085
