"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Gene"
"ENSG00000113302"	429.446149487212	1.70934564859229	0.367865099288253	10.1454958988769	3.4701147016283e-24	3.38717896025938e-20	"IL12B"
"ENSG00000136244"	1046.80857850383	1.89640911094392	0.367687036735354	10.1592048151778	3.01525565877204e-24	3.38717896025938e-20	"IL6"
"ENSG00000108342"	332.373362247312	1.72993980534337	0.367821595790095	9.58286268695038	9.43916769503923e-22	6.14238105808519e-18	"CSF3"
"ENSG00000102794"	3815.79242369446	2.05992200947022	0.365329298268588	9.37764001944791	6.74658465124091e-21	3.29267063903813e-17	"IRG1"
"ENSG00000115009"	1175.49748813314	1.86504231458544	0.36409492291613	9.12499768075425	7.17377947311433e-20	2.80093045748276e-16	"CCL20"
"ENSG00000122641"	6247.79678636851	1.78562138778123	0.361283440165272	8.92332409072446	4.5249818104083e-19	1.47227824837985e-15	"INHBA"
"ENSG00000105509"	144.089379753703	1.17082539504621	0.367504318068603	8.75920447523761	1.96633144306375e-18	5.47380691730085e-15	"HAS1"
"ENSG00000163739"	1576.95569970862	1.91119275400386	0.361188647149281	8.74434485575451	2.24313366142848e-18	5.47380691730085e-15	"CXCL1"
"ENSG00000134460"	332.059278961043	1.73140508807972	0.361546626134905	8.39363904795996	4.71321646658371e-17	1.02234902067386e-13	"IL2RA"
"ENSG00000205021"	262.235516892347	2.6021719656429	0.332335523149729	8.35829663709658	6.36302865288806e-17	1.2357597360249e-13	"CCL3L1"
"ENSG00000234883"	1391.06386981838	1.98790926397226	0.35901954366989	8.33737005368426	7.59610533362297e-17	1.2357597360249e-13	"MIR155HG"
"ENSG00000251230"	451.815823779913	2.1482745737559	0.355723448660984	8.34551017579778	7.09071142132954e-17	1.2357597360249e-13	""
"ENSG00000073756"	8181.11832632327	1.91457192787487	0.362977066392199	8.28287925963543	1.20232307829237e-16	1.6941913454802e-13	"PTGS2"
"ENSG00000154099"	227.070360195129	1.47779394324594	0.365109153777964	8.28163335259817	1.21497176706909e-16	1.6941913454802e-13	"DNAAF1"
